FID,SRC_AGENCY,FIRE_ID,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,OUT_DATE,SIZE_HA,CAUSE,ECOZONE,ECOZ_REF,ECOZ_NAME,ECOZ_NOM
370517,QC,20201080305,45.663,-75.7455,2020,5,23,2020-05-23 00:00:00,2020-05-26 00:00:00,9.2,H,6,6b,Boreal Shield East,Bouclier bordal
370518,QC,20201080306,45.649,-74.6641,2020,5,23,2020-05-23 00:00:00,2020-05-23 00:00:00,0.4,H,6,6b,Boreal Shield East,Bouclier bordal
370519,QC,20201080307,47.3409,-72.1967,2020,5,23,2020-05-23 00:00:00,2020-05-31 00:00:00,17.8,H,6,6b,Boreal Shield East,Bouclier bordal
370520,QC,20201080308,46.6005,-75.6423,2020,5,23,2020-05-23 00:00:00,2020-05-27 00:00:00,3.1,H,6,6b,Boreal Shield East,Bouclier bordal
370521,QC,20201080309,48.0277,-66.6806,2020,5,23,2020-05-23 00:00:00,2020-05-25 00:00:00,2.0,H,7,7,Atlantic Maritime,Maritime de l'Atlantique
370522,QC,20201080310,45.8554,-74.26099999999998,2020,5,23,2020-05-23 00:00:00,2020-05-23 00:00:00,0.1,H,6,6b,Boreal Shield East,Bouclier bordal
370523,QC,20201080311,45.5368,-75.899,2020,5,23,2020-05-23 00:00:00,2020-05-24 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370524,QC,20201080312,45.8197,-73.9453,2020,5,23,2020-05-23 00:00:00,2020-05-25 00:00:00,2.7,H,6,6b,Boreal Shield East,Bouclier bordal
370525,QC,20201080313,46.9475,-71.3518,2020,5,23,2020-05-23 00:00:00,2020-05-23 00:00:00,0.3,H,6,6b,Boreal Shield East,Bouclier bordal
370526,QC,20201080314,46.0991,-71.5597,2020,5,21,2020-05-21 00:00:00,2020-05-21 00:00:00,0.0,H,7,7,Atlantic Maritime,Maritime de l'Atlantique
370527,QC,20201080315,48.0843,-78.99989999999998,2020,5,23,2020-05-23 00:00:00,2020-05-23 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370528,QC,20201080316,46.9818,-70.4462,2020,5,22,2020-05-22 00:00:00,2020-05-22 00:00:00,1.0,H,7,7,Atlantic Maritime,Maritime de l'Atlantique
370529,QC,20201080317,48.6403,-71.0086,2020,5,23,2020-05-23 00:00:00,2020-05-23 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370530,QC,20201080318,48.2897,-76.37949999999998,2020,5,24,2020-05-24 00:00:00,2020-05-29 00:00:00,14.6,H,6,6b,Boreal Shield East,Bouclier bordal
370531,QC,20201080319,47.967,-68.9505,2020,5,24,2020-05-24 00:00:00,2020-05-24 00:00:00,0.0,H,7,7,Atlantic Maritime,Maritime de l'Atlantique
370532,QC,20201080320,45.6987,-74.57299999999998,2020,5,24,2020-05-24 00:00:00,2020-05-26 00:00:00,1.1,H,6,6b,Boreal Shield East,Bouclier bordal
370533,QC,20201080321,46.3933,-74.2252,2020,5,24,2020-05-24 00:00:00,2020-05-25 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370534,QC,20201080322,45.9032,-74.1496,2020,5,24,2020-05-24 00:00:00,2020-05-25 00:00:00,0.2,H,6,6b,Boreal Shield East,Bouclier bordal
370535,QC,20201080323,46.2997,-70.3984,2020,5,24,2020-05-24 00:00:00,2020-05-24 00:00:00,1.3,H,7,7,Atlantic Maritime,Maritime de l'Atlantique
370536,QC,20201080324,48.9967,-72.0009,2020,5,24,2020-05-24 00:00:00,2020-05-27 00:00:00,2.2,H,6,6b,Boreal Shield East,Bouclier bordal
370537,QC,20201080325,50.0174,-66.9219,2020,5,24,2020-05-24 00:00:00,2020-05-25 00:00:00,0.1,H,6,6b,Boreal Shield East,Bouclier bordal
370538,QC,20201080326,46.3524,-73.89159999999998,2020,5,24,2020-05-24 00:00:00,2020-05-26 00:00:00,2.8,H,6,6b,Boreal Shield East,Bouclier bordal
370539,QC,20201080327,50.3014,-66.3922,2020,5,24,2020-05-24 00:00:00,2020-05-25 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370540,QC,20201080328,45.4906,-75.7617,2020,5,24,2020-05-24 00:00:00,2020-05-24 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370541,QC,20201080329,45.6729,-73.3203,2020,5,22,2020-05-22 00:00:00,2020-05-22 00:00:00,0.4,H,8,8,MixedWood Plain,Plaines d forits mixtes
370542,QC,20201080330,48.0594,-65.2525,2020,5,25,2020-05-25 00:00:00,2020-05-25 00:00:00,0.3,H,7,7,Atlantic Maritime,Maritime de l'Atlantique
370543,QC,20201080331,46.5327,-72.61669999999998,2020,5,21,2020-05-21 00:00:00,2020-05-21 00:00:00,1.8,H,8,8,MixedWood Plain,Plaines d forits mixtes
370544,QC,20201080332,45.4044,-72.245,2020,5,23,2020-05-23 00:00:00,2020-05-23 00:00:00,0.0,H,7,7,Atlantic Maritime,Maritime de l'Atlantique
370545,QC,20201080333,47.9538,-69.8116,2020,5,26,2020-05-26 00:00:00,2020-05-26 00:00:00,0.1,H,6,6b,Boreal Shield East,Bouclier bordal
370546,QC,20201080334,45.2691,-73.625,2020,5,23,2020-05-23 00:00:00,2020-05-23 00:00:00,0.1,H,8,8,MixedWood Plain,Plaines d forits mixtes
370547,QC,20201080335,46.3267,-72.71519999999998,2020,5,26,2020-05-26 00:00:00,2020-05-26 00:00:00,0.2,H,8,8,MixedWood Plain,Plaines d forits mixtes
370548,QC,20201080336,45.8306,-72.0212,2020,5,27,2020-05-27 00:00:00,2020-05-27 00:00:00,0.5,H,8,8,MixedWood Plain,Plaines d forits mixtes
370549,QC,20201080337,47.1854,-73.7459,2020,5,27,2020-05-27 00:00:00,2020-05-29 00:00:00,1.8,H,6,6b,Boreal Shield East,Bouclier bordal
370550,QC,20201080338,48.5289,-68.3775,2020,5,26,2020-05-26 00:00:00,2020-05-28 00:00:00,0.0,H,7,7,Atlantic Maritime,Maritime de l'Atlantique
370551,QC,20201080339,48.097,-77.7641,2020,5,27,2020-05-27 00:00:00,2020-05-28 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370552,QC,20201080340,49.8377,-64.2806,2020,5,27,2020-05-27 00:00:00,2020-05-29 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370553,QC,20201080341,48.245,-65.6358,2020,5,25,2020-05-25 00:00:00,2020-05-25 00:00:00,0.0,H,7,7,Atlantic Maritime,Maritime de l'Atlantique
370554,QC,20201080342,48.025,-66.7249,2020,5,28,2020-05-28 00:00:00,2020-05-28 00:00:00,0.0,L,7,7,Atlantic Maritime,Maritime de l'Atlantique
370555,QC,20201080343,48.2964,-70.7201,2020,5,28,2020-05-28 00:00:00,2020-06-01 00:00:00,6.3,H,6,6b,Boreal Shield East,Bouclier bordal
370556,QC,20201080344,46.0513,-73.7228,2020,5,28,2020-05-28 00:00:00,2020-05-28 00:00:00,0.7,H,6,6b,Boreal Shield East,Bouclier bordal
370557,QC,20201080345,48.2679,-68.4988,2020,5,28,2020-05-28 00:00:00,2020-05-28 00:00:00,0.0,H,7,7,Atlantic Maritime,Maritime de l'Atlantique
370558,QC,20201080346,49.9242,-67.2048,2020,5,28,2020-05-28 00:00:00,2020-05-29 00:00:00,0.3,H,6,6b,Boreal Shield East,Bouclier bordal
370559,QC,20201080347,49.0195,-71.6629,2020,5,28,2020-05-28 00:00:00,2020-05-28 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370560,QC,20201080348,48.4079,-77.3995,2020,5,28,2020-05-28 00:00:00,2020-05-28 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370561,QC,20201080349,45.8492,-72.307,2020,5,28,2020-05-28 00:00:00,2020-05-28 00:00:00,0.8,H,8,8,MixedWood Plain,Plaines d forits mixtes
370562,QC,20201080350,48.5324,-67.9112,2020,5,29,2020-05-29 00:00:00,2020-05-29 00:00:00,0.0,H,7,7,Atlantic Maritime,Maritime de l'Atlantique
370563,QC,20201080351,46.1072,-70.6296,2020,5,29,2020-05-29 00:00:00,2020-05-29 00:00:00,0.2,H,7,7,Atlantic Maritime,Maritime de l'Atlantique
370564,QC,20201080352,45.9738,-75.9847,2020,5,26,2020-05-26 00:00:00,2020-05-28 00:00:00,1.3,L,6,6b,Boreal Shield East,Bouclier bordal
370565,QC,20201080353,46.9596,-71.2089,2020,5,29,2020-05-29 00:00:00,2020-05-29 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370566,QC,20201080354,45.1397,-72.5133,2020,5,27,2020-05-27 00:00:00,2020-05-28 00:00:00,0.1,H,7,7,Atlantic Maritime,Maritime de l'Atlantique
370567,QC,20201080355,46.3775,-72.5959,2020,5,27,2020-05-27 00:00:00,2020-05-27 00:00:00,0.8,H,8,8,MixedWood Plain,Plaines d forits mixtes
370568,QC,20201080356,48.0935,-66.5471,2020,5,28,2020-05-28 00:00:00,2020-05-30 00:00:00,0.0,L,7,7,Atlantic Maritime,Maritime de l'Atlantique
370569,QC,20201080357,45.7785,-71.9046,2020,5,29,2020-05-29 00:00:00,2020-05-29 00:00:00,0.0,H,7,7,Atlantic Maritime,Maritime de l'Atlantique
370570,QC,20201080358,50.1951,-76.412,2020,6,3,2020-06-03 00:00:00,2020-06-03 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370571,QC,20201080359,47.0318,-71.205,2020,6,3,2020-06-03 00:00:00,2020-06-03 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370572,QC,20201080360,46.0538,-71.9559,2020,6,2,2020-06-02 00:00:00,2020-06-02 00:00:00,0.2,H,8,8,MixedWood Plain,Plaines d forits mixtes
370573,QC,20201080361,51.2608,-58.6394,2020,5,24,2020-05-24 00:00:00,2020-05-24 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370574,QC,20201080362,46.7147,-73.80339999999998,2020,6,1,2020-06-01 00:00:00,2020-06-01 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370575,QC,20201080363,47.3891,-68.906,2020,6,5,2020-06-05 00:00:00,2020-06-05 00:00:00,0.0,H,7,7,Atlantic Maritime,Maritime de l'Atlantique
370576,QC,20201080364,48.0998,-65.4651,2020,6,14,2020-06-14 00:00:00,2020-06-14 00:00:00,0.0,H,7,7,Atlantic Maritime,Maritime de l'Atlantique
370577,QC,20201080365,45.4705,-74.0425,2020,6,5,2020-06-05 00:00:00,2020-06-05 00:00:00,0.0,H,8,8,MixedWood Plain,Plaines d forits mixtes
370578,QC,20201080366,46.0403,-73.88249999999998,2020,6,5,2020-06-05 00:00:00,2020-06-05 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370579,QC,20201080367,48.6473,-72.7235,2020,6,6,2020-06-06 00:00:00,2020-06-07 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370580,QC,20201080368,45.6733,-75.623,2020,6,7,2020-06-07 00:00:00,2020-06-07 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370581,QC,20201080369,45.8255,-73.9178,2020,6,7,2020-06-07 00:00:00,2020-06-07 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370582,QC,20201080370,49.7753,-68.0196,2020,6,8,2020-06-08 00:00:00,2020-06-08 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370583,QC,20201080371,46.8343,-71.688,2020,6,7,2020-06-07 00:00:00,2020-06-07 00:00:00,0.1,H,6,6b,Boreal Shield East,Bouclier bordal
370584,QC,20201080372,50.0738,-66.9726,2020,6,8,2020-06-08 00:00:00,2020-06-09 00:00:00,0.2,H,6,6b,Boreal Shield East,Bouclier bordal
