FID,SRC_AGENCY,FIRE_ID,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,OUT_DATE,SIZE_HA,CAUSE,ECOZONE,ECOZ_REF,ECOZ_NAME,ECOZ_NOM
370639,QC,20201080427,48.9138,-72.7253,2020,6,19,2020-06-19 00:00:00,2020-06-22 00:00:00,3.7,H,6,6b,Boreal Shield East,Bouclier bordal
370640,QC,20201080428,50.5186,-77.4522,2020,6,19,2020-06-19 00:00:00,2020-06-24 00:00:00,148.0,H,6,6b,Boreal Shield East,Bouclier bordal
370641,QC,20201080429,47.0506,-74.6123,2020,6,11,2020-06-11 00:00:00,2020-06-22 00:00:00,0.7,L,6,6b,Boreal Shield East,Bouclier bordal
370642,QC,20201080430,46.3064,-74.6772,2020,6,19,2020-06-19 00:00:00,2020-06-19 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370643,QC,20201080431,46.8309,-70.397,2020,6,19,2020-06-19 00:00:00,2020-06-19 00:00:00,0.1,H,7,7,Atlantic Maritime,Maritime de l'Atlantique
370644,QC,20201080432,46.4383,-73.171,2020,6,17,2020-06-17 00:00:00,2020-06-18 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370645,QC,20201080433,47.4653,-69.922,2020,6,19,2020-06-19 00:00:00,2020-07-24 00:00:00,361.1,H,8,8,MixedWood Plain,Plaines d forits mixtes
370646,QC,20201080434,50.1615,-66.5226,2020,6,19,2020-06-19 00:00:00,2020-06-19 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370647,QC,20201080435,46.4266,-72.75239999999998,2020,6,19,2020-06-19 00:00:00,2020-06-19 00:00:00,0.0,H,8,8,MixedWood Plain,Plaines d forits mixtes
370648,QC,20201080436,48.7333,-78.88469999999998,2020,6,19,2020-06-19 00:00:00,2020-06-22 00:00:00,3.0,H,6,6b,Boreal Shield East,Bouclier bordal
370649,QC,20201080437,49.8057,-68.2237,2020,6,19,2020-06-19 00:00:00,2020-06-19 00:00:00,0.0,H,6,6b,Boreal Shield East,Bouclier bordal
370650,QC,20201080438,49.2426,-68.1725,2020,6,19,2020-06-19 00:00:00,2020-06-26 00:00:00,6.1,H,6,6b,Boreal Shield East,Bouclier bordal
